time;gFx;gFy;gFz;TgF
0,008452;0,0242;0,1564;1,0178;1,030
0,009625;0,0186;0,1568;1,0214;1,034
0,010280;0,0127;0,1566;1,0190;1,031
0,010810;0,0088;0,1593;1,0161;1,029
0,011322;0,0054;0,1612;1,0100;1,023
0,011750;0,0059;0,1620;1,0017;1,015
0,020048;0,0042;0,1612;0,9933;1,006
0,022043;0,0029;0,1593;0,9875;1,000
0,039251;0,0012;0,1586;0,9821;0,995
0,040153;0,0005;0,1576;0,9831;0,996
0,040608;-0,0015;0,1564;0,9902;1,002
0,041269;-0,0005;0,1551;0,9936;1,006
0,046513;0,0020;0,1542;1,0014;1,013
0,051516;0,0017;0,1534;1,0095;1,021
0,056575;0,0012;0,1529;1,0141;1,026
0,061747;0,0032;0,1507;1,0222;1,033
0,066642;0,0037;0,1490;1,0266;1,037
0,071634;0,0046;0,1468;1,0319;1,042
0,086691;0,0051;0,1454;1,0376;1,048
0,087895;0,0044;0,1437;1,0420;1,052
0,088656;0,0107;0,1437;1,0488;1,059
0,091930;0,0144;0,1468;1,0498;1,060
0,097205;0,0183;0,1471;1,0469;1,057
0,102027;0,0208;0,1500;1,0459;1,057
0,106888;0,0227;0,1529;1,0385;1,050
0,111832;0,0252;0,1532;1,0317;1,043
0,117291;0,0281;0,1559;1,0212;1,033
0,122034;0,0293;0,1578;1,0168;1,029
0,127380;0,0310;0,1593;1,0136;1,027
0,132075;0,0352;0,1586;1,0100;1,023
0,137067;0,0415;0,1603;1,0078;1,021
0,143743;0,0464;0,1630;1,0041;1,018
0,147397;0,0484;0,1649;1,0014;1,016
0,152118;0,0464;0,1671;0,9992;1,014
0,157143;0,0445;0,1695;0,9938;1,009
0,162134;0,0435;0,1695;0,9877;1,003
0,167248;0,0410;0,1710;0,9799;0,996
0,172106;0,0379;0,1695;0,9736;0,989
0,186768;0,0315;0,1691;0,9670;0,982
0,187905;0,0288;0,1698;0,9623;0,978
0,188560;0,0235;0,1727;0,9594;0,975
0,192261;0,0232;0,1713;0,9557;0,971
0,197584;0,0161;0,1686;0,9582;0,973
0,202566;0,0156;0,1652;0,9616;0,976
0,207522;0,0149;0,1639;0,9675;0,981
0,212622;0,0112;0,1615;0,9777;0,991
0,217547;0,0095;0,1590;0,9904;1,003
0,222546;0,0022;0,1568;1,0036;1,016
0,227648;-0,0007;0,1512;1,0168;1,028
0,232670;-0,0044;0,1468;1,0280;1,038
0,237754;-0,0046;0,1422;1,0393;1,049
0,243965;-0,0020;0,1373;1,0486;1,058
0,247766;0,0027;0,1341;1,0588;1,067
0,252640;0,0054;0,1341;1,0642;1,073
0,257745;0,0103;0,1349;1,0679;1,076
0,262938;0,0164;0,1358;1,0664;1,075
0,267995;0,0188;0,1388;1,0664;1,076
0,272849;0,0213;0,1390;1,0566;1,066
0,286892;0,0247;0,1429;1,0451;1,055
0,288110;0,0279;0,1488;1,0334;1,044
0,288699;0,0271;0,1566;1,0210;1,033
0,294073;0,0330;0,1622;1,0068;1,020
0,298186;0,0344;0,1678;0,9965;1,011
0,303066;0,0310;0,1739;0,9836;0,999
0,307939;0,0274;0,1754;0,9733;0,989
0,313094;0,0264;0,1769;0,9672;0,984
0,317991;0,0252;0,1793;0,9611;0,978
0,322897;0,0261;0,1818;0,9611;0,978
0,328058;0,0249;0,1815;0,9660;0,983
0,333168;0,0259;0,1805;0,9716;0,989
