time;gFx;gFy;gFz;TgF
0,003445;0,0173;0,2157;0,8502;0,877
0,004591;0,0191;0,2165;0,8724;0,899
0,005380;0,0200;0,2155;0,8993;0,925
0,009800;0,0215;0,2143;0,9291;0,954
0,014770;0,0205;0,2099;0,9572;0,980
0,020152;0,0154;0,2091;0,9858;1,008
0,033224;0,0049;0,2003;1,0139;1,033
0,033985;-0,0066;0,1959;1,0349;1,053
0,034734;-0,0164;0,1915;1,0503;1,068
0,039767;-0,0303;0,1854;1,0586;1,075
0,045451;-0,0474;0,1832;1,0618;1,078
0,050019;-0,0569;0,1825;1,0603;1,077
0,055880;-0,0662;0,1801;1,0508;1,068
0,060002;-0,0745;0,1786;1,0368;1,055
0,065022;-0,0806;0,1742;1,0202;1,038
0,070059;-0,0875;0,1739;1,0058;1,024
0,075130;-0,0916;0,1742;0,9907;1,010
0,080362;-0,0926;0,1757;0,9748;0,995
0,085399;-0,0933;0,1786;0,9626;0,983
0,090432;-0,0931;0,1825;0,9569;0,979
0,095510;-0,0904;0,1888;0,9594;0,982
0,100317;-0,0872;0,1893;0,9645;0,987
0,117219;-0,0867;0,1935;0,9699;0,993
0,118113;-0,0894;0,1920;0,9775;1,000
0,118726;-0,0936;0,1908;0,9853;1,008
0,120495;-0,0941;0,1908;0,9882;1,011
0,125584;-0,0899;0,1913;0,9904;1,013
0,130708;-0,0811;0,1937;0,9916;1,014
0,135588;-0,0684;0,1962;0,9875;1,009
0,140882;-0,0535;0,2033;0,9846;1,007
0,145554;-0,0359;0,2111;0,9804;1,004
0,150651;-0,0151;0,2189;0,9809;1,005
0,156157;-0,0010;0,2218;0,9765;1,001
0,160687;0,0132;0,2272;0,9755;1,002
0,165745;0,0254;0,2282;0,9709;0,998
0,170709;0,0320;0,2296;0,9660;0,993
0,175873;0,0359;0,2318;0,9631;0,991
0,180730;0,0325;0,2316;0,9606;0,989
0,185643;0,0288;0,2311;0,9535;0,982
0,190939;0,0217;0,2272;0,9482;0,975
0,195937;0,0178;0,2277;0,9482;0,975
0,200982;0,0115;0,2245;0,9555;0,982
0,217737;0,0071;0,2199;0,9670;0,992
0,218779;0,0064;0,2147;0,9831;1,006
0,219229;0,0044;0,2079;0,9985;1,020
0,222581;0,0039;0,2028;1,0126;1,033
0,226029;0,0024;0,1989;1,0232;1,042
0,230970;0,0007;0,1950;1,0332;1,051
0,236130;-0,0039;0,1932;1,0376;1,055
0,241125;-0,0029;0,1913;1,0405;1,058
0,246218;-0,0037;0,1898;1,0425;1,060
0,251226;0,0010;0,1932;1,0361;1,054
0,256221;0,0039;0,1925;1,0334;1,051
0,261233;0,0071;0,1967;1,0298;1,048
0,266094;0,0076;0,1991;1,0258;1,045
0,272713;0,0073;0,2060;1,0224;1,043
0,276471;0,0076;0,2091;1,0197;1,041
0,281230;0,0068;0,2106;1,0153;1,037
0,286288;0,0083;0,2099;1,0080;1,030
0,291254;0,0071;0,2096;1,0068;1,028
0,296434;0,0037;0,2106;1,0034;1,025
0,301535;0,0029;0,2089;1,0031;1,025
0,316873;-0,0027;0,2040;1,0051;1,026
0,317708;-0,0064;0,2006;1,0085;1,028
0,318144;-0,0068;0,1947;1,0144;1,033
0,322327;-0,0086;0,1896;1,0185;1,036
0,326627;-0,0032;0,1864;1,0224;1,039
0,331703;-0,0037;0,1810;1,0258;1,042
0,336822;-0,0061;0,1774;1,0283;1,043
0,341686;-0,0083;0,1725;1,0356;1,050
0,346597;-0,0112;0,1652;1,0412;1,054
0,351632;-0,0142;0,1534;1,0471;1,058
0,356750;-0,0169;0,1456;1,0481;1,058
0,361679;-0,0178;0,1383;1,0481;1,057
0,366617;-0,0200;0,1322;1,0471;1,056
0,372518;-0,0203;0,1302;1,0454;1,054
0,376880;-0,0225;0,1270;1,0398;1,048
0,381873;-0,0264;0,1239;1,0383;1,046
0,386720;-0,0298;0,1209;1,0305;1,038
0,391861;-0,0315;0,1231;1,0183;1,026
0,397108;-0,0322;0,1229;1,0053;1,013
0,401944;-0,0264;0,1239;0,9882;0,996
0,410930;-0,0183;0,1317;0,9755;0,985
0,412017;-0,0046;0,1427;0,9721;0,983
0,417091;0,0103;0,1517;0,9748;0,987
0,423622;0,0242;0,1595;0,9789;0,992
0,427141;0,0413;0,1637;0,9872;1,002
0,432190;0,0555;0,1676;0,9951;1,011
0,437055;0,0643;0,1688;1,0009;1,017
0,442078;0,0691;0,1683;1,0070;1,023
0,447211;0,0679;0,1647;1,0087;1,024
0,452133;0,0647;0,1617;1,0112;1,026
0,457315;0,0523;0,1544;1,0114;1,024
0,462514;0,0432;0,1483;1,0136;1,025
0,467390;0,0347;0,1427;1,0144;1,025
0,472218;0,0296;0,1358;1,0151;1,025
0,477353;0,0242;0,1300;1,0146;1,023
0,482352;0,0230;0,1256;1,0163;1,024
0,487476;0,0232;0,1234;1,0239;1,032
0,492609;0,0213;0,1200;1,0288;1,036
0,498145;0,0156;0,1143;1,0295;1,036
0,502930;0,0107;0,1102;1,0300;1,036
0,514231;0,0064;0,1112;1,0319;1,038
0,515167;0,0027;0,1129;1,0339;1,040
0,517799;0,0029;0,1124;1,0373;1,043
0,529901;0,0032;0,1138;1,0363;1,043
0,531157;0,0034;0,1124;1,0307;1,037
0,532650;0,0022;0,1129;1,0227;1,029
0,539168;-0,0010;0,1119;1,0078;1,014
0,542909;-0,0029;0,1143;0,9890;0,996
0,547896;0,0010;0,1173;0,9699;0,977
0,552995;0,0088;0,1258;0,9508;0,959
0,557996;0,0247;0,1361;0,9372;0,947
0,562904;0,0327;0,1427;0,9374;0,949
0,567608;0,0418;0,1466;0,9435;0,956
0,575213;0,0454;0,1437;0,9584;0,970
0,577801;0,0472;0,1375;0,9745;0,985
0,582577;0,0457;0,1322;0,9921;1,002
0,588706;0,0408;0,1253;1,0087;1,017
0,592925;0,0347;0,1204;1,0241;1,032
0,597857;0,0286;0,1124;1,0393;1,046
0,602930;0,0308;0,1075;1,0512;1,057
0,608358;0,0376;0,1043;1,0652;1,071
0,613485;0,0357;0,1026;1,0757;1,081
0,618216;0,0330;0,1009;1,0852;1,090
0,630662;0,0359;0,1041;1,0979;1,103
0,631864;0,0410;0,1036;1,1077;1,113
0,633098;0,0442;0,1065;1,1160;1,122
