time;gFx;gFy;gFz;TgF
0,003603;0,0459;0,1534;1,0119;1,025
0,004062;0,0469;0,1534;1,0324;1,045
0,004264;0,0528;0,1549;1,0447;1,057
0,008954;0,0567;0,1583;1,0510;1,064
0,011790;0,0559;0,1627;1,0598;1,074
0,016830;0,0537;0,1703;1,0652;1,080
0,021873;0,0501;0,1749;1,0618;1,077
0,026982;0,0472;0,1791;1,0539;1,070
0,032139;0,0415;0,1823;1,0412;1,058
0,048441;0,0413;0,1864;1,0283;1,046
0,049155;0,0398;0,1893;1,0131;1,031
0,049559;0,0413;0,1896;0,9990;1,018
0,052213;0,0474;0,1932;0,9826;1,003
0,057204;0,0562;0,1974;0,9640;0,986
0,062708;0,0613;0,2038;0,9445;0,968
0,067340;0,0643;0,2118;0,9259;0,952
0,072065;0,0657;0,2123;0,9108;0,937
0,077090;0,0665;0,2169;0,9066;0,935
0,082193;0,0669;0,2165;0,8925;0,921
0,087854;0,0528;0,2157;0,8881;0,915
0,092255;0,0474;0,2133;0,8937;0,920
0,097285;0,0430;0,2094;0,9054;0,930
0,102140;0,0408;0,2045;0,9171;0,941
0,107336;0,0420;0,2011;0,9323;0,955
0,112423;0,0469;0,1964;0,9467;0,968
0,117318;0,0547;0,1945;0,9604;0,981
0,131809;0,0603;0,1925;0,9728;0,994
0,132527;0,0640;0,1915;0,9838;1,004
0,132866;0,0679;0,1896;0,9938;1,014
0,137809;0,0711;0,1886;0,9948;1,015
0,142558;0,0704;0,1910;0,9941;1,015
0,147630;0,0657;0,1908;0,9948;1,015
0,152743;0,0581;0,1888;0,9977;1,017
0,157696;0,0562;0,1906;0,9982;1,018
0,162735;0,0530;0,1915;0,9963;1,016
0,167588;0,0520;0,1945;0,9963;1,016
0,172758;0,0545;0,1950;0,9960;1,016
0,177800;0,0550;0,1981;0,9999;1,021
0,182702;0,0567;0,2023;1,0105;1,032
0,187996;0,0564;0,2045;1,0210;1,043
0,192982;0,0557;0,2079;1,0317;1,054
0,197846;0,0574;0,2069;1,0381;1,060
0,204547;0,0601;0,2074;1,0410;1,063
0,208000;0,0625;0,2111;1,0361;1,059
0,212996;0,0638;0,2160;1,0307;1,055
0,218151;0,0608;0,2174;1,0251;1,050
0,223321;0,0562;0,2179;1,0190;1,044
0,228052;0,0513;0,2150;1,0129;1,037
0,233147;0,0484;0,2101;1,0109;1,034
0,249401;0,0413;0,2077;1,0029;1,025
0,250232;0,0423;0,2123;0,9970;1,020
0,250630;0,0474;0,2155;0,9963;1,020
0,254734;0,0489;0,2143;0,9975;1,021
0,258300;0,0508;0,2121;1,0009;1,024
0,263455;0,0474;0,2086;1,0046;1,027
0,268263;0,0472;0,2052;1,0083;1,030
0,273272;0,0489;0,2045;1,0129;1,034
0,278285;0,0484;0,2028;1,0136;1,035
0,283222;0,0508;0,1994;1,0107;1,031
0,288305;0,0515;0,2006;0,9985;1,020
0,293496;0,0518;0,2028;0,9833;1,005
0,298388;0,0572;0,2062;0,9704;0,994
0,304406;0,0569;0,2089;0,9638;0,988
0,308812;0,0537;0,2077;0,9611;0,985
0,313517;0,0506;0,2060;0,9584;0,982
0,318726;0,0467;0,2028;0,9601;0,982
0,323707;0,0440;0,1998;0,9675;0,989
0,328598;0,0391;0,2020;0,9740;0,996
0,333658;0,0362;0,2038;0,9872;1,009
0,349587;0,0364;0,2023;0,9973;1,018
0,350331;0,0393;0,2008;1,0068;1,027
0,350733;0,0410;0,1989;1,0100;1,030
0,354588;0,0425;0,1974;1,0105;1,030
0,358878;0,0464;0,1974;1,0004;1,021
0,363827;0,0489;0,1991;0,9882;1,009
0,368929;0,0469;0,2008;0,9743;0,996
0,373893;0,0457;0,2042;0,9662;0,989
0,378896;0,0489;0,2052;0,9628;0,986
0,383776;0,0530;0,2038;0,9689;0,992
0,388840;0,0613;0,2055;0,9806;1,004
0,393970;0,0730;0,2074;0,9977;1,022
0,398903;0,0755;0,2096;1,0139;1,038
0,403911;0,0774;0,2094;1,0244;1,048
0,408920;0,0787;0,2123;1,0324;1,057
0,413993;0,0792;0,2143;1,0373;1,062
0,418780;0,0792;0,2140;1,0390;1,064
0,423998;0,0794;0,2174;1,0373;1,063
0,429054;0,0772;0,2165;1,0302;1,056
0,434196;0,0789;0,2191;1,0251;1,051
0,443437;0,0826;0,2240;1,0236;1,051
0,444439;0,0814;0,2279;1,0190;1,047
0,449530;0,0811;0,2284;1,0232;1,051
0,458772;0,0799;0,2338;1,0241;1,054
0,459674;0,0865;0,2372;1,0322;1,063
0,464244;0,0911;0,2414;1,0344;1,066
0,469343;0,0894;0,2470;1,0422;1,075
0,474464;0,0821;0,2448;1,0515;1,083
0,479400;0,0828;0,2472;1,0268;1,059
0,484519;0,3037;0,3159;0,7608;0,878
0,489539;0,2179;0,3139;0,8214;0,906
0,495248;0,1344;0,3042;0,8949;0,955
0,499813;0,0970;0,2856;0,9181;0,966
0,505363;0,0814;0,2639;0,9274;0,968
0,510606;0,0708;0,2502;0,9376;0,973
0,514798;0,0550;0,2406;0,9469;0,979
0,520061;0,0564;0,2389;0,9606;0,991
0,524959;0,0650;0,2365;0,9740;1,004
0,529947;0,0733;0,2345;0,9789;1,009
0,534688;0,0713;0,2277;0,9755;1,004
0,545744;0,0679;0,2240;0,9736;1,001
0,547020;0,0696;0,2189;0,9660;0,993
0,549697;0,0694;0,2174;0,9589;0,986
0,559954;0,0660;0,2169;0,9552;0,982
0,560993;0,0645;0,2152;0,9562;0,982
0,564724;0,0581;0,2096;0,9555;0,980
0,570489;0,0520;0,2016;0,9611;0,983
0,574908;0,0469;0,1952;0,9753;0,996
0,579908;0,0454;0,1952;0,9875;1,008
0,584600;0,0403;0,1945;0,9931;1,013
0,589911;0,0362;0,1906;0,9975;1,016
0,595014;0,0281;0,1913;0,9995;1,018
0,599819;0,0225;0,1906;1,0026;1,021
0,605240;0,0210;0,1920;1,0051;1,023
0,610332;0,0200;0,1903;0,9982;1,016
0,615189;0,0186;0,1893;0,9965;1,015
0,628792;0,0213;0,1901;1,0002;1,018
0,630265;0,0249;0,1925;1,0114;1,030
0,630844;0,0322;0,1974;1,0207;1,040
0,635022;0,0371;0,1964;1,0161;1,036
0,643284;0,0454;0,1979;1,0051;1,025
0,645065;0,0581;0,2011;0,9999;1,022
0,650134;0,0655;0,2086;1,0058;1,029
0,655057;0,0689;0,2123;1,0144;1,039
0,660320;0,0687;0,2157;1,0207;1,046
0,665159;0,0625;0,2113;1,0219;1,045
0,672070;0,0525;0,2047;1,0192;1,041
0,675510;0,0472;0,2006;1,0153;1,036
0,680754;0,0415;0,1991;1,0043;1,025
0,686840;0,0432;0,1996;0,9943;1,015
0,690935;0,0425;0,2038;0,9772;0,999
0,695917;0,0440;0,2064;0,9479;0,971
0,700732;0,0445;0,2079;0,9289;0,953
0,705947;0,0459;0,2089;0,9093;0,934
0,710667;0,0528;0,2113;0,8917;0,918
0,715949;0,0635;0,2147;0,8849;0,913
0,731053;0,0726;0,2179;0,8751;0,905
0,732062;0,0728;0,2206;0,8734;0,904
0,732648;0,0706;0,2228;0,8788;0,909
0,735708;0,0621;0,2216;0,8849;0,914
0,744480;0,0530;0,2231;0,8959;0,925
0,745866;0,0457;0,2191;0,9061;0,933
0,750728;0,0476;0,2201;0,9056;0,933
0,755659;0,0396;0,2157;0,8990;0,925
0,760659;0,0288;0,2103;0,8971;0,922
0,765775;0,0205;0,2079;0,9110;0,935
0,772428;0,0139;0,2052;0,9362;0,959
0,776212;0,0134;0,2038;0,9618;0,983
0,781085;0,0159;0,2016;0,9758;0,996
0,788965;0,0134;0,1942;0,9755;0,995
0,791537;0,0161;0,1898;0,9731;0,992
0,796225;0,0222;0,1903;0,9782;0,997
0,801318;0,0254;0,1915;0,9824;1,001
0,806337;0,0244;0,1932;0,9828;1,002
0,811359;0,0320;0,1915;0,9853;1,004
0,816192;0,0347;0,1908;0,9929;1,012
0,830399;0,0366;0,1920;1,0097;1,028
0,831431;0,0388;0,1950;1,0219;1,041
0,831809;0,0359;0,1935;1,0324;1,051
0,845529;0,0332;0,1925;1,0363;1,055
0,846540;0,0293;0,1918;1,0371;1,055
0,846900;0,0303;0,1915;1,0434;1,061
0,851275;0,0344;0,1930;1,0449;1,063
0,858559;0,0386;0,1925;1,0400;1,058
0,861218;0,0398;0,1957;1,0393;1,058
0,867599;0,0469;0,1991;1,0341;1,054
0,873580;0,0513;0,2018;1,0317;1,053
0,876389;0,0533;0,2042;1,0344;1,056
0,881396;0,0493;0,2040;1,0354;1,056
0,887364;0,0498;0,2096;1,0351;1,057
0,891602;0,0498;0,2130;1,0327;1,056
0,896497;0,0469;0,2157;1,0254;1,049
0,901689;0,0491;0,2172;1,0080;1,032
0,906546;0,0472;0,2184;1,0017;1,026
0,911541;0,0423;0,2209;0,9973;1,022
0,916818;0,0369;0,2228;0,9914;1,017
0,930690;0,0335;0,2221;0,9890;1,014
0,931916;0,0300;0,2191;0,9880;1,012
0,932616;0,0244;0,2143;0,9846;1,008
0,939296;0,0205;0,2116;0,9953;1,018
0,943571;0,0159;0,2067;1,0026;1,024
0,946862;0,0149;0,2025;1,0070;1,027
0,953208;0,0181;0,2023;1,0100;1,030
0,956935;0,0274;0,1991;1,0087;1,029
0,962146;0,0359;0,1976;1,0085;1,028
0,967460;0,0435;0,1954;0,9999;1,020
0,972073;0,0491;0,1913;0,9907;1,010
0,976958;0,0528;0,1884;0,9836;1,003
0,982400;0,0584;0,1840;0,9743;0,993
0,989736;0,0679;0,1818;0,9675;0,987
0,992154;0,0735;0,1803;0,9623;0,982
0,997377;0,0752;0,1766;0,9569;0,976
1,002048;0,0735;0,1715;0,9526;0,971
1,007906;0,0704;0,1642;0,9557;0,972
1,012427;0,0635;0,1603;0,9660;0,981
1,017692;0,0591;0,1566;0,9787;0,993
1,030243;0,0535;0,1578;0,9941;1,008
1,031001;0,0506;0,1634;1,0053;1,020
1,032103;0,0518;0,1688;1,0161;1,031
1,047247;0,0596;0,1788;1,0166;1,034
