time;gFx;gFy;gFz;TgF
0,002954;0,1979;0,4009;0,7740;0,894
0,003368;0,2165;0,4222;0,7388;0,878
0,003571;0,2079;0,4187;0,7476;0,882
0,007916;0,1793;0,4068;0,7652;0,885
0,013057;0,1241;0,3897;0,7745;0,876
0,018063;0,0792;0,3779;0,7852;0,875
0,023197;0,0545;0,3716;0,8079;0,891
0,028223;0,0464;0,3662;0,8336;0,912
0,033145;0,0564;0,3616;0,8592;0,934
0,049724;0,0706;0,3562;0,8849;0,956
0,050385;0,0877;0,3459;0,9176;0,985
0,050706;0,1024;0,3391;0,9450;1,009
0,053553;0,1097;0,3340;0,9667;1,029
0,058497;0,1075;0,3269;0,9809;1,039
0,063730;0,1051;0,3188;0,9946;1,050
0,068557;0,0982;0,3132;1,0004;1,053
0,076329;0,0955;0,3088;1,0041;1,055
0,078561;0,0931;0,3049;1,0122;1,061
0,083503;0,0943;0,3066;1,0134;1,063
0,088756;0,0987;0,3103;1,0178;1,069
0,093611;0,0941;0,3125;1,0036;1,055
0,098536;0,0887;0,3142;0,9975;1,050
0,103552;0,0901;0,3198;0,9951;1,049
0,108811;0,0936;0,3261;1,0021;1,058
0,113778;0,0955;0,3335;1,0112;1,069
0,118863;0,0911;0,3374;1,0151;1,074
0,123864;0,0845;0,3371;1,0148;1,073
0,128874;0,0811;0,3376;1,0058;1,064
0,133900;0,0777;0,3391;0,9887;1,048
0,149719;0,0748;0,3418;0,9699;1,031
0,150460;0,0728;0,3459;0,9457;1,010
0,150824;0,0770;0,3535;0,9279;0,996
0,155413;0,0784;0,3562;0,9139;0,984
0,159054;0,0809;0,3579;0,9032;0,975
0,164234;0,0838;0,3594;0,8998;0,973
0,168906;0,0894;0,3596;0,9039;0,977
0,175734;0,0906;0,3604;0,9100;0,983
0,179182;0,0923;0,3550;0,9223;0,993
0,183980;0,0916;0,3545;0,9362;1,005
0,189098;0,0855;0,3442;0,9440;1,008
0,194152;0,0848;0,3359;0,9513;1,012
0,199072;0,0889;0,3257;0,9635;1,021
0,205569;0,0904;0,3254;0,9736;1,030
0,209152;0,0928;0,3218;0,9850;1,040
0,214320;0,0926;0,3196;0,9912;1,045
0,219571;0,0914;0,3142;0,9902;1,043
0,224397;0,0860;0,3095;0,9882;1,039
0,229645;0,0843;0,3051;0,9819;1,032
0,234348;0,0848;0,3032;0,9721;1,022
0,249596;0,0872;0,3042;0,9631;1,014
0,250259;0,0909;0,3064;0,9550;1,007
0,250568;0,0941;0,3073;0,9501;1,003
0,255189;0,0906;0,3066;0,9452;0,998
0,259514;0,0870;0,3054;0,9438;0,996
0,264714;0,0843;0,3056;0,9384;0,990
0,269492;0,0831;0,3078;0,9335;0,986
0,276195;0,0855;0,3110;0,9281;0,983
0,279792;0,0858;0,3139;0,9215;0,977
0,284666;0,0911;0,3156;0,9179;0,975
0,289673;0,0938;0,3166;0,9152;0,973
0,294915;0,0985;0,3171;0,9105;0,969
0,299749;0,1051;0,3242;0,9064;0,968
0,305300;0,1107;0,3288;0,9081;0,972
0,309801;0,1146;0,3310;0,9120;0,977
0,314753;0,1185;0,3330;0,9169;0,983
0,320044;0,1217;0,3318;0,9291;0,994
0,324969;0,1251;0,3335;0,9413;1,006
0,329939;0,1300;0,3345;0,9540;1,019
0,334943;0,1309;0,3389;0,9694;1,035
0,348784;0,1302;0,3413;0,9850;1,051
