time;gFx;gFy;gFz;TgF
0,003436;0,1688;0,3987;0,7417;0,859
0,003827;0,1454;0,3928;0,7415;0,852
0,005861;0,1214;0,3804;0,7600;0,859
0,009757;0,1036;0,3691;0,7891;0,877
0,014863;0,0892;0,3613;0,8314;0,911
0,035271;0,0733;0,3513;0,8922;0,962
0,036234;0,0545;0,3440;0,9482;1,010
0,036661;0,0381;0,3374;0,9826;1,040
0,036957;0,0227;0,3296;1,0019;1,055
0,040099;0,0115;0,3266;1,0046;1,056
0,045517;0,0100;0,3308;0,9987;1,052
0,049871;0,0125;0,3381;0,9765;1,033
0,060519;0,0068;0,3371;0,9384;0,997
0,061179;0,0061;0,3384;0,9049;0,966
0,065040;0,0024;0,3415;0,8817;0,946
0,070876;-0,0029;0,3398;0,8722;0,936
0,075274;-0,0059;0,3354;0,8707;0,933
0,080185;-0,0034;0,3349;0,8863;0,948
0,085179;-0,0046;0,3296;0,9012;0,960
0,090314;-0,0059;0,3232;0,9176;0,973
0,095575;-0,0007;0,3171;0,9308;0,983
0,100505;0,0000;0,3103;0,9535;1,003
0,115227;0,0046;0,3054;0,9665;1,014
0,116026;0,0073;0,3025;0,9711;1,017
0,116393;0,0129;0,2995;0,9767;1,022
0,121225;0,0217;0,2983;0,9882;1,032
0,125623;0,0310;0,2973;1,0031;1,047
0,131116;0,0415;0,2973;1,0061;1,050
0,135511;0,0594;0,2946;0,9999;1,044
0,145110;0,0765;0,2963;0,9997;1,045
0,145871;0,0953;0,2978;0,9977;1,046
0,150492;0,1041;0,3025;0,9968;1,047
0,155580;0,1192;0,3071;0,9987;1,052
0,160756;0,1263;0,3093;1,0012;1,055
0,165677;0,1297;0,3112;0,9982;1,054
0,170718;0,1263;0,3144;0,9973;1,053
0,175880;0,1258;0,3169;0,9909;1,048
0,180740;0,1251;0,3198;0,9846;1,043
0,187546;0,1231;0,3232;0,9780;1,037
0,190787;0,1246;0,3274;0,9697;1,031
0,195868;0,1317;0,3364;0,9582;1,024
0,200972;0,1346;0,3415;0,9452;1,014
0,205952;0,1410;0,3481;0,9325;1,005
0,210933;0,1383;0,3594;0,9235;1,001
0,215882;0,1344;0,3596;0,9142;0,992
0,231745;0,1368;0,3599;0,9083;0,987
0,232490;0,1422;0,3601;0,9081;0,987
0,232828;0,1437;0,3606;0,9142;0,993
0,237195;0,1393;0,3586;0,9254;1,002
0,241213;0,1329;0,3564;0,9433;1,017
0,246491;0,1239;0,3506;0,9601;1,030
0,251052;0,1246;0,3489;0,9762;1,044
0,259649;0,1219;0,3459;0,9794;1,046
0,261415;0,1158;0,3454;0,9809;1,046
0,266181;0,1182;0,3528;0,9819;1,050
0,271196;0,1226;0,3613;0,9797;1,051
0,276255;0,1334;0,3638;0,9770;1,051
0,281241;0,1446;0,3665;0,9792;1,055
0,287604;0,1537;0,3701;0,9809;1,060
0,291340;0,1622;0,3726;0,9865;1,067
0,296454;0,1744;0,3765;0,9882;1,072
0,301781;0,1801;0,3784;0,9933;1,078
0,306382;0,1757;0,3784;0,9955;1,079
0,311621;0,1695;0,3777;0,9975;1,080
0,316684;0,1590;0,3745;0,9997;1,079
0,332452;0,1498;0,3682;1,0012;1,077
0,333188;0,1400;0,3613;1,0051;1,077
0,333580;0,1307;0,3574;1,0105;1,080
0,337320;0,1219;0,3520;1,0075;1,074
0,341731;0,1107;0,3474;1,0029;1,067
0,346765;0,1051;0,3418;0,9990;1,061
0,351776;0,0921;0,3332;0,9868;1,046
0,359154;0,0765;0,3259;0,9806;1,036
0,361829;0,0667;0,3188;0,9762;1,029
0,367005;0,0633;0,3139;0,9767;1,028
0,371722;0,0601;0,3078;0,9811;1,030
0,376783;0,0616;0,3022;0,9846;1,032
0,381772;0,0652;0,2985;0,9921;1,038
0,387284;0,0660;0,2956;0,9982;1,043
0,392012;0,0635;0,2922;0,9965;1,040
0,396958;0,0640;0,2858;0,9936;1,036
0,402273;0,0581;0,2814;0,9933;1,034
0,406953;0,0476;0,2775;0,9933;1,032
