time;gFx;gFy;gFz;TgF
0,003615;0,0657;0,1285;1,0219;1,032
0,004199;0,0674;0,1275;1,0024;1,013
0,004558;0,0694;0,1287;0,9841;0,995
0,004795;0,0674;0,1309;0,9660;0,977
0,007641;0,0667;0,1361;0,9491;0,961
0,010696;0,0647;0,1380;0,9369;0,949
0,015607;0,0640;0,1412;0,9293;0,942
0,026261;0,0611;0,1419;0,9240;0,937
0,026747;0,0530;0,1419;0,9254;0,938
0,030791;0,0415;0,1405;0,9252;0,937
0,035756;0,0347;0,1405;0,9279;0,939
0,040782;0,0340;0,1366;0,9325;0,943
0,045798;0,0291;0,1346;0,9398;0,950
0,051043;0,0235;0,1329;0,9499;0,959
0,055874;0,0188;0,1322;0,9626;0,972
0,060829;0,0169;0,1295;0,9726;0,981
0,065911;0,0154;0,1278;0,9821;0,991
0,070999;0,0142;0,1253;0,9924;1,000
0,075985;0,0129;0,1236;1,0036;1,011
0,081123;0,0142;0,1217;1,0188;1,026
0,086163;0,0193;0,1234;1,0371;1,045
0,091316;0,0274;0,1185;1,0515;1,059
0,096254;0,0330;0,1170;1,0618;1,069
0,110565;0,0472;0,1141;1,0727;1,080
0,111169;0,0616;0,1187;1,0784;1,087
0,111508;0,0679;0,1222;1,0798;1,089
0,116626;0,0779;0,1283;1,0796;1,090
0,121430;0,0867;0,1349;1,0771;1,089
0,126250;0,0982;0,1402;1,0757;1,089
0,131304;0,1104;0,1434;1,0730;1,088
0,136421;0,1190;0,1478;1,0737;1,090
0,141744;0,1229;0,1512;1,0740;1,092
0,146280;0,1256;0,1527;1,0735;1,092
0,151350;0,1297;0,1559;1,0688;1,088
0,156571;0,1300;0,1588;1,0578;1,078
0,161569;0,1241;0,1603;1,0439;1,063
0,168440;0,1224;0,1652;1,0273;1,048
0,171872;0,1163;0,1681;1,0109;1,031
0,176831;0,1121;0,1713;0,9977;1,019
0,181727;0,1073;0,1771;0,9904;1,012
0,186694;0,0985;0,1786;0,9841;1,005
0,191798;0,0897;0,1810;0,9780;0,999
0,196897;0,0821;0,1796;0,9762;0,996
0,214027;0,0735;0,1793;0,9755;0,995
0,215093;0,0699;0,1766;0,9828;1,001
0,215570;0,0655;0,1737;0,9899;1,007
0,218971;0,0660;0,1705;0,9995;1,016
0,221985;0,0689;0,1678;1,0100;1,026
0,226991;0,0723;0,1661;1,0227;1,039
0,231879;0,0757;0,1637;1,0332;1,049
0,237662;0,0792;0,1625;1,0427;1,058
0,241889;0,0826;0,1578;1,0517;1,067
0,246959;0,0853;0,1544;1,0544;1,069
0,252377;0,0892;0,1527;1,0605;1,075
0,257022;0,0963;0,1507;1,0640;1,079
0,262952;0,0980;0,1473;1,0635;1,078
0,267752;0,1014;0,1439;1,0679;1,082
0,273614;0,1009;0,1432;1,0659;1,080
0,277210;0,1007;0,1405;1,0625;1,076
0,282244;0,0933;0,1412;1,0600;1,073
0,287116;0,0916;0,1380;1,0542;1,067
0,293199;0,0921;0,1353;1,0473;1,060
0,297224;0,0945;0,1297;1,0371;1,049
0,305619;0,0931;0,1268;1,0290;1,041
0,307216;0,0906;0,1251;1,0236;1,035
0,312294;0,0901;0,1251;1,0192;1,031
0,318728;0,0901;0,1258;1,0205;1,032
0,322294;0,0911;0,1239;1,0212;1,033
0,327331;0,0919;0,1212;1,0210;1,032
0,332593;0,0916;0,1202;1,0183;1,029
0,337548;0,0904;0,1170;1,0178;1,028
0,342412;0,0889;0,1136;1,0173;1,027
0,348576;0,0845;0,1131;1,0173;1,027
0,352519;0,0796;0,1109;1,0156;1,025
0,357672;0,0765;0,1112;1,0065;1,016
0,362591;0,0762;0,1094;0,9987;1,008
0,367607;0,0789;0,1116;0,9907;1,000
0,374425;0,0782;0,1131;0,9850;0,995
0,377672;0,0836;0,1156;0,9806;0,991
0,382652;0,0833;0,1182;0,9799;0,991
0,387950;0,0838;0,1207;0,9802;0,991
0,392699;0,0850;0,1219;0,9821;0,993
0,397760;0,0860;0,1229;0,9789;0,990
0,405317;0,0816;0,1239;0,9721;0,983
0,407813;0,0811;0,1261;0,9692;0,981
0,412867;0,0794;0,1287;0,9657;0,978
0,417905;0,0784;0,1297;0,9675;0,979
0,422848;0,0818;0,1334;0,9706;0,983
0,428283;0,0853;0,1346;0,9758;0,989
0,434093;0,0906;0,1363;0,9802;0,994
0,438187;0,0931;0,1375;0,9831;0,997
0,443060;0,0970;0,1385;0,9899;1,004
0,448258;0,1002;0,1402;0,9995;1,014
0,453143;0,1019;0,1383;1,0039;1,018
0,458204;0,1063;0,1402;1,0080;1,023
0,467954;0,1031;0,1405;1,0114;1,026
0,468790;0,0992;0,1400;1,0134;1,028
0,473380;0,0933;0,1427;1,0158;1,030
0,478236;0,0887;0,1415;1,0192;1,033
0,484133;0,0848;0,1437;1,0239;1,037
0,488232;0,0858;0,1466;1,0307;1,045
0,493278;0,0860;0,1473;1,0344;1,048
0,498434;0,0862;0,1473;1,0417;1,056
0,503749;0,0877;0,1505;1,0459;1,060
0,508568;0,0887;0,1544;1,0534;1,068
0,513430;0,0882;0,1581;1,0561;1,072
0,522534;0,0875;0,1608;1,0620;1,078
0,523417;0,0867;0,1610;1,0664;1,082
0,528508;0,0867;0,1630;1,0666;1,082
0,534058;0,0850;0,1654;1,0664;1,082
0,538578;0,0853;0,1649;1,0608;1,077
0,543454;0,0787;0,1649;1,0547;1,070
0,548539;0,0696;0,1642;1,0429;1,058
0,553834;0,0640;0,1622;1,0385;1,053
0,558805;0,0572;0,1608;1,0319;1,046
0,563783;0,0511;0,1583;1,0280;1,041
0,568750;0,0469;0,1549;1,0261;1,039
0,573818;0,0452;0,1534;1,0246;1,037
0,578977;0,0459;0,1485;1,0295;1,041
0,584650;0,0442;0,1449;1,0319;1,043
0,588846;0,0437;0,1424;1,0378;1,048
0,593933;0,0467;0,1361;1,0388;1,049
0,598890;0,0530;0,1356;1,0356;1,046
0,605619;0,0567;0,1319;1,0327;1,043
0,609116;0,0599;0,1322;1,0315;1,042
0,614010;0,0608;0,1312;1,0276;1,038
0,619080;0,0633;0,1314;1,0251;1,035
0,624060;0,0633;0,1312;1,0229;1,033
0,629165;0,0633;0,1309;1,0192;1,030
0,634150;0,0625;0,1295;1,0183;1,028
0,639221;0,0647;0,1280;1,0141;1,024
0,644262;0,0645;0,1295;1,0056;1,016
0,649265;0,0601;0,1278;0,9997;1,010
0,654808;0,0591;0,1280;0,9943;1,004
0,659940;0,0584;0,1278;0,9868;0,997
0,665437;0,0525;0,1266;0,9809;0,990
0,669855;0,0479;0,1278;0,9753;0,985
0,674448;0,0462;0,1280;0,9750;0,984
0,679585;0,0454;0,1270;0,9770;0,986
0,684760;0,0418;0,1268;0,9826;0,992
0,689910;0,0366;0,1253;0,9855;0,994
0,694966;0,0342;0,1239;0,9904;0,999
0,700386;0,0325;0,1204;0,9970;1,005
0,713120;0,0310;0,1207;1,0012;1,009
0,713928;0,0313;0,1219;1,0063;1,014
0,714672;0,0342;0,1234;1,0141;1,022
0,730585;0,0420;0,1287;1,0200;1,029
0,731698;0,0474;0,1297;1,0236;1,033
0,732194;0,0545;0,1351;1,0266;1,037
0,740267;0,0625;0,1385;1,0307;1,042
0,741447;0,0691;0,1461;1,0324;1,045
0,745053;0,0679;0,1473;1,0319;1,045
0,751145;0,0618;0,1498;1,0332;1,046
0,754830;0,0547;0,1510;1,0322;1,045
0,759976;0,0479;0,1505;1,0354;1,047
0,765110;0,0413;0,1488;1,0337;1,045
0,769941;0,0364;0,1441;1,0319;1,043
0,774957;0,0342;0,1407;1,0315;1,042
0,780068;0,0298;0,1407;1,0317;1,042
0,785518;0,0266;0,1358;1,0319;1,041
0,789819;0,0300;0,1336;1,0295;1,039
0,794856;0,0352;0,1314;1,0236;1,033
0,808474;0,0415;0,1305;1,0188;1,028
0,809375;0,0457;0,1346;1,0166;1,026
0,810018;0,0506;0,1361;1,0183;1,029
0,815307;0,0562;0,1388;1,0180;1,029
0,820156;0,0577;0,1407;1,0200;1,031
0,825100;0,0579;0,1415;1,0214;1,033
0,830295;0,0581;0,1395;1,0244;1,035
0,835198;0,0586;0,1363;1,0229;1,034
0,840161;0,0545;0,1317;1,0234;1,033
0,845218;0,0503;0,1270;1,0170;1,026
0,850937;0,0462;0,1244;1,0087;1,017
0,855760;0,0445;0,1268;0,9977;1,007
0,860466;0,0445;0,1270;0,9904;1,000
0,865445;0,0474;0,1295;0,9843;0,994
0,870863;0,0523;0,1339;0,9811;0,992
0,875608;0,0569;0,1385;0,9833;0,995
0,880593;0,0608;0,1395;0,9914;1,003
0,891553;0,0613;0,1429;1,0039;1,016
0,891950;0,0621;0,1419;1,0188;1,030
0,895623;0,0640;0,1417;1,0283;1,040
0,906695;0,0669;0,1393;1,0346;1,046
0,907726;0,0645;0,1378;1,0393;1,050
0,910873;0,0638;0,1380;1,0407;1,052
0,915845;0,0633;0,1407;1,0412;1,053
0,923201;0,0625;0,1424;1,0395;1,051
0,925828;0,0616;0,1446;1,0356;1,047
0,930868;0,0623;0,1466;1,0324;1,045
0,936426;0,0603;0,1473;1,0241;1,036
0,940858;0,0601;0,1490;1,0097;1,022
0,946003;0,0621;0,1480;0,9977;1,011
0,951056;0,0594;0,1493;0,9868;1,000
0,955812;0,0557;0,1500;0,9772;0,990
0,960880;0,0513;0,1468;0,9714;0,984
0,965963;0,0479;0,1468;0,9655;0,978
0,971716;0,0413;0,1444;0,9657;0,977
0,975880;0,0354;0,1429;0,9699;0,981
0,981052;0,0303;0,1397;0,9765;0,987
0,987505;0,0325;0,1378;0,9858;0,996
0,990997;0,0340;0,1344;0,9975;1,007
0,996005;0,0340;0,1349;1,0053;1,015
1,005299;0,0362;0,1356;1,0151;1,025
1,006160;0,0410;0,1385;1,0229;1,033
1,011303;0,0452;0,1385;1,0307;1,041
1,016241;0,0440;0,1393;1,0381;1,048
1,021226;0,0454;0,1424;1,0405;1,051
1,026144;0,0447;0,1427;1,0383;1,049
1,031224;0,0450;0,1439;1,0368;1,048
1,036281;0,0445;0,1478;1,0310;1,042
1,041345;0,0447;0,1507;1,0210;1,033
1,046607;0,0464;0,1529;1,0139;1,026
1,051962;0,0506;0,1549;1,0078;1,021
1,056756;0,0542;0,1583;1,0021;1,016
1,061463;0,0550;0,1603;0,9960;1,010
1,068088;0,0535;0,1595;0,9885;1,003
1,071419;0,0511;0,1571;0,9836;0,997
1,076456;0,0481;0,1542;0,9811;0,994
1,081702;0,0452;0,1510;0,9792;0,992
1,086582;0,0432;0,1473;0,9770;0,989
1,091588;0,0396;0,1422;0,9804;0,991
1,096722;0,0364;0,1395;0,9843;0,995
